address,time_in,time_out,lp_tokens_deposited
0x1286b7c4d47db07725c93e95841174116949268e,1632234407,1632234407,35275299999999971236350
0x026000e54c00750689ff4d01f691cd2abe5ad387,1632234412,1632234412,2701999999999999981192
0x0e79c644ec160afe87ea8e87201c0fe35ba63e1f,1632234536,1632234536,73715666666666666371804
0xf486d56cce70c481b3455af901fcc4f03fee8107,1632234660,1632234660,70000000000000000000000
0x2dde86634921a42b3c662c1c99cda8301cdfd273,1632234660,1632234660,1197500076433948148815
0x3f3003dec579ffe478be29133c22dc1bb273a2b8,1632234681,1632234681,19885999999999999920456
0x5d7d6f679083f3ebfc6a510c418b4e1b2f754fae,1632234751,1632234751,2766333333333333322268
0x291e4181f506aaef0b29b59d7765b23024fde911,1632234902,1632234902,23951166666666666570862
0xd8ab842d8ffac177badc23963a69b665fe75c1b3,1632235172,1632235172,10800657129478958412461
0xab44caf3f19265eec60eb8ef681a08d680e1283d,1632235220,1632235220,4040423755636662223706
0x6562a7e32a35c479b9044a75d96ae38a9fe12ab7,1632235513,1632235513,16957067499999932171730
0x09cc15dda77789d42c0133c909e88fb6e3af793a,1632235728,1632235728,64708223581593243092686
0x55907cf476998d2f58591c6d0a10ecbbe249a8eb,1632236050,1632236050,11600000076433948107205
0x75e1bec21ad7c4e94cc4512d876e52f0b7293820,1632236598,1632236598,1573499999999999993706
0x65711ee91afc72398e7f9db2f8b0f73a87cc524c,1632236841,1632236841,89435911754429755896
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632237495,1632237495,22172759307691146441960
0x8d586f380846dca988cb3b345231af02f989c411,1632237559,1632237559,2000000000000000000000
0x65711ee91afc72398e7f9db2f8b0f73a87cc524c,1632237617,1632237617,22172759307691146441960
0x8d586f380846dca988cb3b345231af02f989c411,1632237758,1632237758,2291999999999999982832
0x8fe8686b254e6685d38eabdc88235d74bf0cbead,1632237924,1632237924,1820208333333328387496
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632238243,1632238243,10555066831987332552283
0xab69344649bde3e71374d089506fd790bedcf64c,1632238571,1632238571,23790000000000000000000
0x5498104a55f4c4d28fd850f89bad7a9a1f0caa5a,1632238626,1632238626,10555066831987332552283
0x2dde86634921a42b3c662c1c99cda8301cdfd273,1632238980,1632238980,6547524324990340606477
0xcc7cc2e94273e694998ba0b3c80306cf031aedb7,1632239070,1632239070,265123333333332272840
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632239091,1632239091,150647719804678149249022
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632239091,1632239091,28548635729887118938764
0xa405e822d1c3a8568c6b82eb6e570fca0136f802,1632239091,1632239091,150647719804678149249022
0x734740c70db02f5710207f1d12df47c710665206,1632239134,1632239134,40271727741656538853343
0x6021c8fdaf2c499ace509b9197dc3f7093817127,1632239292,1632239292,28548635729887118938764
0x7b2dcadceac7b472409eceeca489fee8b5db2de4,1632239308,1632239308,2331999999999999990672
0xd2594436a220e90495cb3066b24d37a8252fac0c,1632239387,1632239387,2000000000000000000000
0x542a5651f84145efaaf8dc470e2adc2922877807,1632239486,1632239486,9000000000000000000000
0xd2594436a220e90495cb3066b24d37a8252fac0c,1632239559,1632239559,6441333333333333287608
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632239953,1632239953,43267779472034207110262
0x70357a446fe25558d63c8c66c88c0380d34eb8d1,1632240170,1632240170,43267779472034207110262
0x21dbd14795baec7614b53b7b2429919aefe84c76,1632240284,1632240284,1912499999999999992350
0x6b3491396626aa78ec0ecf28d06c515fe82d4dbb,1632240363,1632240363,4116937499999983532250
0x2dde86634921a42b3c662c1c99cda8301cdfd273,1632240680,1632240680,6135921853603184475796
0x55e35dca91c08fbd691292fae7f78c026c294ac9,1632240769,1632240769,16248697254947280905446
0xefbcf1d651e5e1c2ba57bafd54f88e9f5057d8f2,1632240797,1632240797,6428333333333333307620
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632240912,1632240912,21325618144388445191486
